[2022-08-08T19:57:48.598] [WARN] archivo - Log de warn
[2022-08-08T19:57:48.600] [ERROR] archivo - Log de error
[2022-08-08T19:57:48.600] [FATAL] archivo - Log de fatal
[2022-08-08T19:59:15.133] [ERROR] todos - Log de error
[2022-08-08T19:59:15.138] [FATAL] todos - Log de fatal
[2022-08-08T20:01:13.683] [ERROR] todos - Log de error
[2022-08-08T20:01:13.689] [FATAL] todos - Log de fatal
[2022-08-08T20:06:16.134] [ERROR] error - Log de error
[2022-08-08T20:06:16.140] [FATAL] error - Log de fatal
[2022-08-08T20:07:28.819] [ERROR] error - Log de error
[2022-08-08T20:07:28.825] [FATAL] error - Log de fatal
[2022-08-08T20:12:30.484] [ERROR] custom - Log de error
[2022-08-08T20:12:30.484] [FATAL] custom - Log de fatal
[2022-08-08T20:13:35.042] [ERROR] custom - Log de error
[2022-08-08T20:13:35.043] [FATAL] custom - Log de fatal
[2022-08-08T20:13:40.094] [ERROR] custom - Log de error
[2022-08-08T20:13:40.095] [FATAL] custom - Log de fatal
[2022-08-08T20:13:44.617] [ERROR] custom - Log de error
[2022-08-08T20:13:44.618] [FATAL] custom - Log de fatal
[2022-08-08T20:13:53.139] [ERROR] custom - Log de error
[2022-08-08T20:13:53.139] [FATAL] custom - Log de fatal
[2022-08-08T20:13:58.247] [ERROR] custom - Log de error
[2022-08-08T20:13:58.247] [FATAL] custom - Log de fatal
[2022-08-08T20:14:05.182] [ERROR] custom - Log de error
[2022-08-08T20:14:05.183] [FATAL] custom - Log de fatal
[2022-08-08T20:14:57.023] [ERROR] custom - Log de error
[2022-08-08T20:14:57.023] [FATAL] custom - Log de fatal
[2022-08-08T20:20:43.698] [ERROR] custom - Log de error
[2022-08-08T20:20:43.698] [FATAL] custom - Log de fatal
